Customer_ID,Customer_Name,Gender,Age,City,Occupation,Income_Band,Risk_Segment,Relationship_Start_Date
CUST0001,Reyansh Saxena,Female,26,Chennai,Student,5L-10L,Low,2016-03-13
CUST0002,Sara Das,Female,57,Pune,Self-Employed,20L+,High,2023-05-19
CUST0003,Krishna Yadav,Female,53,Bengaluru,Student,<5L,High,2019-10-08
CUST0004,Ira Das,Female,42,Delhi,Self-Employed,20L+,Medium,2021-03-29
CUST0005,Aarya Mehta,Male,41,Mumbai,Salaried,10L-20L,High,2018-12-29
CUST0006,Krishna Gupta,Male,26,Pune,Student,5L-10L,Low,2022-10-08
CUST0007,Vivaan Ghosh,Male,26,Bengaluru,Retired,5L-10L,Medium,2017-12-08
CUST0008,Sai Verma,Male,68,Kolkata,Retired,<5L,Medium,2020-12-09
CUST0009,Aarav Ghosh,Female,24,Delhi,Business Owner,<5L,Medium,2023-02-21
CUST0010,Anaya Malhotra,Male,50,Delhi,Self-Employed,5L-10L,Low,2023-11-15
CUST0011,Rohan Chauhan,Female,31,Pune,Student,20L+,High,2018-08-13
CUST0012,Sara Kapoor,Male,50,Hyderabad,Business Owner,20L+,Low,2023-01-08
CUST0013,Ira Ghosh,Female,51,Mumbai,Student,10L-20L,Medium,2022-10-11
CUST0014,Anika Gupta,Female,44,Delhi,Self-Employed,20L+,Low,2016-06-08
CUST0015,Arjun Menon,Male,29,Pune,Retired,<5L,Low,2022-01-05
CUST0016,Reyansh Nair,Male,23,Pune,Salaried,<5L,High,2023-09-24
CUST0017,Reyansh Bose,Male,51,Bengaluru,Retired,20L+,High,2020-10-01
CUST0018,Vihaan Pillai,Male,60,Kolkata,Business Owner,<5L,Medium,2020-05-04
CUST0019,Aditi Nair,Female,57,Hyderabad,Salaried,5L-10L,Low,2016-03-07
CUST0020,Vivaan Saxena,Male,56,Mumbai,Business Owner,5L-10L,Low,2022-08-25
CUST0021,Sara Yadav,Male,44,Chennai,Self-Employed,20L+,High,2016-02-27
CUST0022,Anaya Khan,Female,51,Kolkata,Salaried,5L-10L,Low,2016-12-07
CUST0023,Sara Gupta,Male,26,Kolkata,Business Owner,5L-10L,Low,2019-02-27
CUST0024,Pari Malhotra,Male,22,Bengaluru,Self-Employed,10L-20L,Low,2023-08-06
CUST0025,Vihaan Bose,Male,40,Delhi,Retired,10L-20L,High,2019-04-10
CUST0026,Krishna Mehta,Male,48,Delhi,Self-Employed,5L-10L,Medium,2023-09-18
CUST0027,Vivaan Singh,Male,31,Bengaluru,Student,20L+,Medium,2023-04-15
CUST0028,Rohan Mehta,Female,24,Pune,Self-Employed,10L-20L,Low,2019-05-17
CUST0029,Aditi Ghosh,Male,35,Delhi,Self-Employed,<5L,Medium,2022-07-29
CUST0030,Vivaan Reddy,Male,26,Hyderabad,Student,<5L,High,2020-02-03
CUST0031,Vihaan Pillai,Male,69,Mumbai,Business Owner,<5L,High,2020-12-26
CUST0032,Diya Kapoor,Male,50,Kolkata,Business Owner,20L+,Medium,2016-04-25
CUST0033,Krishna Pillai,Male,58,Kolkata,Self-Employed,5L-10L,Medium,2017-10-23
CUST0034,Krishna Chauhan,Female,22,Hyderabad,Student,<5L,Low,2020-01-05
CUST0035,Siya Bose,Male,35,Delhi,Student,20L+,Medium,2022-11-05
CUST0036,Sara Mishra,Female,31,Kolkata,Retired,10L-20L,Low,2021-02-11
CUST0037,Ishaan Kapoor,Female,28,Chennai,Business Owner,5L-10L,Low,2022-05-23
CUST0038,Siya Sharma,Male,46,Mumbai,Salaried,10L-20L,High,2018-10-13
CUST0039,Reyansh Nair,Male,65,Mumbai,Business Owner,20L+,High,2016-11-06
CUST0040,Aarav Ghosh,Male,64,Kolkata,Business Owner,<5L,High,2016-07-26
CUST0041,Krishna Das,Male,25,Bengaluru,Retired,<5L,High,2023-04-19
CUST0042,Ira Malhotra,Female,26,Kolkata,Salaried,20L+,Medium,2022-10-29
CUST0043,Krishna Gupta,Male,46,Bengaluru,Retired,<5L,High,2023-06-10
CUST0044,Aditya Sharma,Male,24,Kolkata,Salaried,5L-10L,Medium,2017-09-24
CUST0045,Arjun Reddy,Male,39,Chennai,Self-Employed,20L+,High,2021-10-03
CUST0046,Reyansh Nair,Male,40,Pune,Salaried,10L-20L,Medium,2024-02-07
CUST0047,Reyansh Nair,Male,53,Mumbai,Retired,20L+,Low,2017-10-18
CUST0048,Krishna Ghosh,Male,40,Kolkata,Business Owner,5L-10L,Medium,2019-11-24
CUST0049,Vivaan Sharma,Female,69,Chennai,Salaried,5L-10L,Medium,2021-04-15
CUST0050,Diya Patel,Female,32,Bengaluru,Salaried,20L+,High,2023-01-06
CUST0051,Aditya Ghosh,Male,67,Bengaluru,Student,20L+,Medium,2020-08-06
CUST0052,Krishna Gupta,Male,21,Mumbai,Business Owner,<5L,Low,2016-08-24
CUST0053,Aarav Gupta,Male,46,Hyderabad,Self-Employed,5L-10L,Low,2016-12-13
CUST0054,Arjun Kapoor,Female,34,Kolkata,Retired,20L+,High,2023-04-28
CUST0055,Pari Gupta,Male,58,Delhi,Self-Employed,20L+,Low,2017-09-21
CUST0056,Aarav Patel,Female,57,Bengaluru,Business Owner,5L-10L,Medium,2020-03-20
CUST0057,Pari Yadav,Male,31,Pune,Salaried,20L+,Low,2021-06-26
CUST0058,Ishaan Kapoor,Male,56,Pune,Salaried,<5L,High,2019-06-25
CUST0059,Sara Reddy,Male,33,Bengaluru,Business Owner,5L-10L,Medium,2016-12-29
CUST0060,Siya Menon,Male,63,Hyderabad,Salaried,<5L,High,2022-06-26
CUST0061,Reyansh Malhotra,Female,23,Hyderabad,Salaried,<5L,Medium,2016-10-12
CUST0062,Anika Mehta,Female,53,Chennai,Salaried,<5L,Low,2016-05-28
CUST0063,Arjun Yadav,Male,26,Pune,Retired,<5L,High,2019-01-12
CUST0064,Siya Kapoor,Male,30,Chennai,Retired,5L-10L,High,2022-09-19
CUST0065,Aarya Mehta,Female,25,Pune,Student,<5L,Medium,2017-03-31
CUST0066,Siya Yadav,Female,43,Kolkata,Self-Employed,<5L,High,2020-11-01
CUST0067,Ira Verma,Female,30,Kolkata,Business Owner,20L+,Medium,2018-03-10
CUST0068,Rohan Mishra,Female,64,Delhi,Business Owner,5L-10L,Medium,2019-03-30
